"ModuleGroup","Module","TableReference","ModulePurpose","HttpMethod","Endpoint","ShortDescription","LongDescription"
"A_User_Access_Management","/Roles","tbl_roles","Define role types used for permission control across the platform.","GET","/API/HARRY-CLINTON/Roles","View records list","Useful for listing and browsing records in admin/customer interfaces. Define role types used for permission control across the platform."
"A_User_Access_Management","/Roles","tbl_roles","Define role types used for permission control across the platform.","GET","/API/HARRY-CLINTON/Roles/:id","View one record","Useful for opening one specific record in detail view screens. Define role types used for permission control across the platform."
"A_User_Access_Management","/Roles","tbl_roles","Define role types used for permission control across the platform.","POST","/API/HARRY-CLINTON/Roles","Create new record","Useful when business users add new data needed for operations and customer experience. Define role types used for permission control across the platform."
"A_User_Access_Management","/Roles","tbl_roles","Define role types used for permission control across the platform.","PUT","/API/HARRY-CLINTON/Roles","Update existing record","Useful for correcting details, status changes, and keeping live data accurate. Define role types used for permission control across the platform."
"A_User_Access_Management","/Roles","tbl_roles","Define role types used for permission control across the platform.","DELETE","/API/HARRY-CLINTON/Roles","Delete/disable record","Useful for removing inactive data from active flows while maintaining data hygiene. Define role types used for permission control across the platform."
"A_User_Access_Management","/User-Roles","tbl_user_roles","Assign roles to users so the right people can access the right features.","GET","/API/HARRY-CLINTON/User-Roles","View records list","Useful for listing and browsing records in admin/customer interfaces. Assign roles to users so the right people can access the right features."
"A_User_Access_Management","/User-Roles","tbl_user_roles","Assign roles to users so the right people can access the right features.","GET","/API/HARRY-CLINTON/User-Roles/:id","View one record","Useful for opening one specific record in detail view screens. Assign roles to users so the right people can access the right features."
"A_User_Access_Management","/User-Roles","tbl_user_roles","Assign roles to users so the right people can access the right features.","GET","/API/HARRY-CLINTON/User-Roles/user/:user_id","View roles for one user","Useful for checking access roles currently mapped to a specific user. Assign roles to users so the right people can access the right features."
"A_User_Access_Management","/User-Roles","tbl_user_roles","Assign roles to users so the right people can access the right features.","POST","/API/HARRY-CLINTON/User-Roles","Create new record","Useful when business users add new data needed for operations and customer experience. Assign roles to users so the right people can access the right features."
"A_User_Access_Management","/User-Roles","tbl_user_roles","Assign roles to users so the right people can access the right features.","PUT","/API/HARRY-CLINTON/User-Roles","Update existing record","Useful for correcting details, status changes, and keeping live data accurate. Assign roles to users so the right people can access the right features."
"A_User_Access_Management","/User-Roles","tbl_user_roles","Assign roles to users so the right people can access the right features.","DELETE","/API/HARRY-CLINTON/User-Roles","Delete/disable record","Useful for removing inactive data from active flows while maintaining data hygiene. Assign roles to users so the right people can access the right features."
"A_User_Access_Management","/User-Roles","tbl_user_roles","Assign roles to users so the right people can access the right features.","POST","/API/HARRY-CLINTON/User-Roles/add","Assign role to user","Useful for granting additional permissions to an existing user. Assign roles to users so the right people can access the right features."
"A_User_Access_Management","/User-Roles","tbl_user_roles","Assign roles to users so the right people can access the right features.","DELETE","/API/HARRY-CLINTON/User-Roles/remove","Remove role from user","Useful for revoking permissions from a user account. Assign roles to users so the right people can access the right features."
"A_User_Access_Management","/Users","tbl_users","Manage user accounts, profile identity details, and account lifecycle actions.","GET","/API/HARRY-CLINTON/Users","View records list","Useful for listing and browsing records in admin/customer interfaces. Manage user accounts, profile identity details, and account lifecycle actions."
"A_User_Access_Management","/Users","tbl_users","Manage user accounts, profile identity details, and account lifecycle actions.","GET","/API/HARRY-CLINTON/Users/:id","View one record","Useful for opening one specific record in detail view screens. Manage user accounts, profile identity details, and account lifecycle actions."
"A_User_Access_Management","/Users","tbl_users","Manage user accounts, profile identity details, and account lifecycle actions.","POST","/API/HARRY-CLINTON/Users","Create new record","Useful when business users add new data needed for operations and customer experience. Manage user accounts, profile identity details, and account lifecycle actions."
"A_User_Access_Management","/Users","tbl_users","Manage user accounts, profile identity details, and account lifecycle actions.","PUT","/API/HARRY-CLINTON/Users","Update existing record","Useful for correcting details, status changes, and keeping live data accurate. Manage user accounts, profile identity details, and account lifecycle actions."
"A_User_Access_Management","/Users","tbl_users","Manage user accounts, profile identity details, and account lifecycle actions.","DELETE","/API/HARRY-CLINTON/Users","Delete/disable record","Useful for removing inactive data from active flows while maintaining data hygiene. Manage user accounts, profile identity details, and account lifecycle actions."
"B_Customer_Management","/Addresses","tbl_addresses","Manage saved customer addresses used for shipping and billing.","GET","/API/HARRY-CLINTON/Addresses","View records list","Useful for listing and browsing records in admin/customer interfaces. Manage saved customer addresses used for shipping and billing."
"B_Customer_Management","/Addresses","tbl_addresses","Manage saved customer addresses used for shipping and billing.","GET","/API/HARRY-CLINTON/Addresses/:id","View one record","Useful for opening one specific record in detail view screens. Manage saved customer addresses used for shipping and billing."
"B_Customer_Management","/Addresses","tbl_addresses","Manage saved customer addresses used for shipping and billing.","POST","/API/HARRY-CLINTON/Addresses","Create new record","Useful when business users add new data needed for operations and customer experience. Manage saved customer addresses used for shipping and billing."
"B_Customer_Management","/Addresses","tbl_addresses","Manage saved customer addresses used for shipping and billing.","PUT","/API/HARRY-CLINTON/Addresses","Update existing record","Useful for correcting details, status changes, and keeping live data accurate. Manage saved customer addresses used for shipping and billing."
"B_Customer_Management","/Addresses","tbl_addresses","Manage saved customer addresses used for shipping and billing.","DELETE","/API/HARRY-CLINTON/Addresses","Delete/disable record","Useful for removing inactive data from active flows while maintaining data hygiene. Manage saved customer addresses used for shipping and billing."
"B_Customer_Management","/Profiles","tbl_profiles","Store customer profile information used across shopping and checkout journeys.","GET","/API/HARRY-CLINTON/Profiles","View records list","Useful for listing and browsing records in admin/customer interfaces. Store customer profile information used across shopping and checkout journeys."
"B_Customer_Management","/Profiles","tbl_profiles","Store customer profile information used across shopping and checkout journeys.","GET","/API/HARRY-CLINTON/Profiles/:id","View one record","Useful for opening one specific record in detail view screens. Store customer profile information used across shopping and checkout journeys."
"B_Customer_Management","/Profiles","tbl_profiles","Store customer profile information used across shopping and checkout journeys.","POST","/API/HARRY-CLINTON/Profiles","Create new record","Useful when business users add new data needed for operations and customer experience. Store customer profile information used across shopping and checkout journeys."
"B_Customer_Management","/Profiles","tbl_profiles","Store customer profile information used across shopping and checkout journeys.","PUT","/API/HARRY-CLINTON/Profiles","Update existing record","Useful for correcting details, status changes, and keeping live data accurate. Store customer profile information used across shopping and checkout journeys."
"B_Customer_Management","/Profiles","tbl_profiles","Store customer profile information used across shopping and checkout journeys.","DELETE","/API/HARRY-CLINTON/Profiles","Delete/disable record","Useful for removing inactive data from active flows while maintaining data hygiene. Store customer profile information used across shopping and checkout journeys."
"C_Product_Catalog_&_Configuration","/Products","tbl_products","Manage core product records shown in catalog and product listing pages.","GET","/API/HARRY-CLINTON/Products","View records list","Useful for listing and browsing records in admin/customer interfaces. Manage core product records shown in catalog and product listing pages."
"C_Product_Catalog_&_Configuration","/Products","tbl_products","Manage core product records shown in catalog and product listing pages.","GET","/API/HARRY-CLINTON/Products/:id","View one record","Useful for opening one specific record in detail view screens. Manage core product records shown in catalog and product listing pages."
"C_Product_Catalog_&_Configuration","/Products","tbl_products","Manage core product records shown in catalog and product listing pages.","POST","/API/HARRY-CLINTON/Products","Create new record","Useful when business users add new data needed for operations and customer experience. Manage core product records shown in catalog and product listing pages."
"C_Product_Catalog_&_Configuration","/Products","tbl_products","Manage core product records shown in catalog and product listing pages.","PUT","/API/HARRY-CLINTON/Products","Update existing record","Useful for correcting details, status changes, and keeping live data accurate. Manage core product records shown in catalog and product listing pages."
"C_Product_Catalog_&_Configuration","/Products","tbl_products","Manage core product records shown in catalog and product listing pages.","DELETE","/API/HARRY-CLINTON/Products","Delete/disable record","Useful for removing inactive data from active flows while maintaining data hygiene. Manage core product records shown in catalog and product listing pages."
"C_Product_Catalog_&_Configuration","/Products-Attributes","tbl_attributes","Define product attribute types used for filtering and merchandising.","GET","/API/HARRY-CLINTON/Products-Attributes","View records list","Useful for listing and browsing records in admin/customer interfaces. Define product attribute types used for filtering and merchandising."
"C_Product_Catalog_&_Configuration","/Products-Attributes","tbl_attributes","Define product attribute types used for filtering and merchandising.","GET","/API/HARRY-CLINTON/Products-Attributes/:id","View one record","Useful for opening one specific record in detail view screens. Define product attribute types used for filtering and merchandising."
"C_Product_Catalog_&_Configuration","/Products-Attributes","tbl_attributes","Define product attribute types used for filtering and merchandising.","POST","/API/HARRY-CLINTON/Products-Attributes","Create new record","Useful when business users add new data needed for operations and customer experience. Define product attribute types used for filtering and merchandising."
"C_Product_Catalog_&_Configuration","/Products-Attributes","tbl_attributes","Define product attribute types used for filtering and merchandising.","PUT","/API/HARRY-CLINTON/Products-Attributes","Update existing record","Useful for correcting details, status changes, and keeping live data accurate. Define product attribute types used for filtering and merchandising."
"C_Product_Catalog_&_Configuration","/Products-Attributes","tbl_attributes","Define product attribute types used for filtering and merchandising.","DELETE","/API/HARRY-CLINTON/Products-Attributes","Delete/disable record","Useful for removing inactive data from active flows while maintaining data hygiene. Define product attribute types used for filtering and merchandising."
"C_Product_Catalog_&_Configuration","/Products-Attributes-Values","tbl_product_attribute_values","Store allowed values for product attributes such as pattern, fabric, or occasion.","GET","/API/HARRY-CLINTON/Products-Attributes-Values","View records list","Useful for listing and browsing records in admin/customer interfaces. Store allowed values for product attributes such as pattern, fabric, or occasion."
"C_Product_Catalog_&_Configuration","/Products-Attributes-Values","tbl_product_attribute_values","Store allowed values for product attributes such as pattern, fabric, or occasion.","GET","/API/HARRY-CLINTON/Products-Attributes-Values/:id","View one record","Useful for opening one specific record in detail view screens. Store allowed values for product attributes such as pattern, fabric, or occasion."
"C_Product_Catalog_&_Configuration","/Products-Attributes-Values","tbl_product_attribute_values","Store allowed values for product attributes such as pattern, fabric, or occasion.","POST","/API/HARRY-CLINTON/Products-Attributes-Values","Create new record","Useful when business users add new data needed for operations and customer experience. Store allowed values for product attributes such as pattern, fabric, or occasion."
"C_Product_Catalog_&_Configuration","/Products-Attributes-Values","tbl_product_attribute_values","Store allowed values for product attributes such as pattern, fabric, or occasion.","PUT","/API/HARRY-CLINTON/Products-Attributes-Values","Update existing record","Useful for correcting details, status changes, and keeping live data accurate. Store allowed values for product attributes such as pattern, fabric, or occasion."
"C_Product_Catalog_&_Configuration","/Products-Attributes-Values","tbl_product_attribute_values","Store allowed values for product attributes such as pattern, fabric, or occasion.","DELETE","/API/HARRY-CLINTON/Products-Attributes-Values","Delete/disable record","Useful for removing inactive data from active flows while maintaining data hygiene. Store allowed values for product attributes such as pattern, fabric, or occasion."
"C_Product_Catalog_&_Configuration","/Products-Care-Instructions","tbl_care_instructions","Manage care instruction entries displayed to customers after purchase consideration.","GET","/API/HARRY-CLINTON/Products-Care-Instructions","View records list","Useful for listing and browsing records in admin/customer interfaces. Manage care instruction entries displayed to customers after purchase consideration."
"C_Product_Catalog_&_Configuration","/Products-Care-Instructions","tbl_care_instructions","Manage care instruction entries displayed to customers after purchase consideration.","GET","/API/HARRY-CLINTON/Products-Care-Instructions/:id","View one record","Useful for opening one specific record in detail view screens. Manage care instruction entries displayed to customers after purchase consideration."
"C_Product_Catalog_&_Configuration","/Products-Care-Instructions","tbl_care_instructions","Manage care instruction entries displayed to customers after purchase consideration.","POST","/API/HARRY-CLINTON/Products-Care-Instructions","Create new record","Useful when business users add new data needed for operations and customer experience. Manage care instruction entries displayed to customers after purchase consideration."
"C_Product_Catalog_&_Configuration","/Products-Care-Instructions","tbl_care_instructions","Manage care instruction entries displayed to customers after purchase consideration.","PUT","/API/HARRY-CLINTON/Products-Care-Instructions","Update existing record","Useful for correcting details, status changes, and keeping live data accurate. Manage care instruction entries displayed to customers after purchase consideration."
"C_Product_Catalog_&_Configuration","/Products-Care-Instructions","tbl_care_instructions","Manage care instruction entries displayed to customers after purchase consideration.","DELETE","/API/HARRY-CLINTON/Products-Care-Instructions","Delete/disable record","Useful for removing inactive data from active flows while maintaining data hygiene. Manage care instruction entries displayed to customers after purchase consideration."
"C_Product_Catalog_&_Configuration","/Products-Cloth-Type-Care-Instructions","tbl_cloth_type_care_instructions","Map fabrics to recommended care guidance for consistency and customer trust.","GET","/API/HARRY-CLINTON/Products-Cloth-Type-Care-Instructions","View records list","Useful for listing and browsing records in admin/customer interfaces. Map fabrics to recommended care guidance for consistency and customer trust."
"C_Product_Catalog_&_Configuration","/Products-Cloth-Type-Care-Instructions","tbl_cloth_type_care_instructions","Map fabrics to recommended care guidance for consistency and customer trust.","GET","/API/HARRY-CLINTON/Products-Cloth-Type-Care-Instructions/:id","View one record","Useful for opening one specific record in detail view screens. Map fabrics to recommended care guidance for consistency and customer trust."
"C_Product_Catalog_&_Configuration","/Products-Cloth-Type-Care-Instructions","tbl_cloth_type_care_instructions","Map fabrics to recommended care guidance for consistency and customer trust.","POST","/API/HARRY-CLINTON/Products-Cloth-Type-Care-Instructions","Create new record","Useful when business users add new data needed for operations and customer experience. Map fabrics to recommended care guidance for consistency and customer trust."
"C_Product_Catalog_&_Configuration","/Products-Cloth-Type-Care-Instructions","tbl_cloth_type_care_instructions","Map fabrics to recommended care guidance for consistency and customer trust.","PUT","/API/HARRY-CLINTON/Products-Cloth-Type-Care-Instructions","Update existing record","Useful for correcting details, status changes, and keeping live data accurate. Map fabrics to recommended care guidance for consistency and customer trust."
"C_Product_Catalog_&_Configuration","/Products-Cloth-Type-Care-Instructions","tbl_cloth_type_care_instructions","Map fabrics to recommended care guidance for consistency and customer trust.","DELETE","/API/HARRY-CLINTON/Products-Cloth-Type-Care-Instructions","Delete/disable record","Useful for removing inactive data from active flows while maintaining data hygiene. Map fabrics to recommended care guidance for consistency and customer trust."
"C_Product_Catalog_&_Configuration","/Products-Cloth-Types","tbl_cloth_types","Manage cloth/fabric categories used in product metadata and filtering.","GET","/API/HARRY-CLINTON/Products-Cloth-Types","View records list","Useful for listing and browsing records in admin/customer interfaces. Manage cloth/fabric categories used in product metadata and filtering."
"C_Product_Catalog_&_Configuration","/Products-Cloth-Types","tbl_cloth_types","Manage cloth/fabric categories used in product metadata and filtering.","GET","/API/HARRY-CLINTON/Products-Cloth-Types/:id","View one record","Useful for opening one specific record in detail view screens. Manage cloth/fabric categories used in product metadata and filtering."
"C_Product_Catalog_&_Configuration","/Products-Cloth-Types","tbl_cloth_types","Manage cloth/fabric categories used in product metadata and filtering.","POST","/API/HARRY-CLINTON/Products-Cloth-Types","Create new record","Useful when business users add new data needed for operations and customer experience. Manage cloth/fabric categories used in product metadata and filtering."
"C_Product_Catalog_&_Configuration","/Products-Cloth-Types","tbl_cloth_types","Manage cloth/fabric categories used in product metadata and filtering.","PUT","/API/HARRY-CLINTON/Products-Cloth-Types","Update existing record","Useful for correcting details, status changes, and keeping live data accurate. Manage cloth/fabric categories used in product metadata and filtering."
"C_Product_Catalog_&_Configuration","/Products-Cloth-Types","tbl_cloth_types","Manage cloth/fabric categories used in product metadata and filtering.","DELETE","/API/HARRY-CLINTON/Products-Cloth-Types","Delete/disable record","Useful for removing inactive data from active flows while maintaining data hygiene. Manage cloth/fabric categories used in product metadata and filtering."
"C_Product_Catalog_&_Configuration","/Products-Media","tbl_product_media","Manage product images/videos used in product detail pages.","GET","/API/HARRY-CLINTON/Products-Media","View records list","Useful for listing and browsing records in admin/customer interfaces. Manage product images/videos used in product detail pages."
"C_Product_Catalog_&_Configuration","/Products-Media","tbl_product_media","Manage product images/videos used in product detail pages.","GET","/API/HARRY-CLINTON/Products-Media/:id","View one record","Useful for opening one specific record in detail view screens. Manage product images/videos used in product detail pages."
"C_Product_Catalog_&_Configuration","/Products-Media","tbl_product_media","Manage product images/videos used in product detail pages.","POST","/API/HARRY-CLINTON/Products-Media","Create new record","Useful when business users add new data needed for operations and customer experience. Manage product images/videos used in product detail pages."
"C_Product_Catalog_&_Configuration","/Products-Media","tbl_product_media","Manage product images/videos used in product detail pages.","PUT","/API/HARRY-CLINTON/Products-Media","Update existing record","Useful for correcting details, status changes, and keeping live data accurate. Manage product images/videos used in product detail pages."
"C_Product_Catalog_&_Configuration","/Products-Media","tbl_product_media","Manage product images/videos used in product detail pages.","DELETE","/API/HARRY-CLINTON/Products-Media","Delete/disable record","Useful for removing inactive data from active flows while maintaining data hygiene. Manage product images/videos used in product detail pages."
"C_Product_Catalog_&_Configuration","/Products-Seo","tbl_product_seo","Manage SEO metadata so product pages are discoverable in search engines.","GET","/API/HARRY-CLINTON/Products-Seo","View records list","Useful for listing and browsing records in admin/customer interfaces. Manage SEO metadata so product pages are discoverable in search engines."
"C_Product_Catalog_&_Configuration","/Products-Seo","tbl_product_seo","Manage SEO metadata so product pages are discoverable in search engines.","GET","/API/HARRY-CLINTON/Products-Seo/:id","View one record","Useful for opening one specific record in detail view screens. Manage SEO metadata so product pages are discoverable in search engines."
"C_Product_Catalog_&_Configuration","/Products-Seo","tbl_product_seo","Manage SEO metadata so product pages are discoverable in search engines.","POST","/API/HARRY-CLINTON/Products-Seo","Create new record","Useful when business users add new data needed for operations and customer experience. Manage SEO metadata so product pages are discoverable in search engines."
"C_Product_Catalog_&_Configuration","/Products-Seo","tbl_product_seo","Manage SEO metadata so product pages are discoverable in search engines.","PUT","/API/HARRY-CLINTON/Products-Seo","Update existing record","Useful for correcting details, status changes, and keeping live data accurate. Manage SEO metadata so product pages are discoverable in search engines."
"C_Product_Catalog_&_Configuration","/Products-Seo","tbl_product_seo","Manage SEO metadata so product pages are discoverable in search engines.","DELETE","/API/HARRY-CLINTON/Products-Seo","Delete/disable record","Useful for removing inactive data from active flows while maintaining data hygiene. Manage SEO metadata so product pages are discoverable in search engines."
"C_Product_Catalog_&_Configuration","/Products-Sizes","tbl_sizes","Manage size master data used while creating variants and size selection options.","GET","/API/HARRY-CLINTON/Products-Sizes","View records list","Useful for listing and browsing records in admin/customer interfaces. Manage size master data used while creating variants and size selection options."
"C_Product_Catalog_&_Configuration","/Products-Sizes","tbl_sizes","Manage size master data used while creating variants and size selection options.","GET","/API/HARRY-CLINTON/Products-Sizes/:id","View one record","Useful for opening one specific record in detail view screens. Manage size master data used while creating variants and size selection options."
"C_Product_Catalog_&_Configuration","/Products-Sizes","tbl_sizes","Manage size master data used while creating variants and size selection options.","POST","/API/HARRY-CLINTON/Products-Sizes","Create new record","Useful when business users add new data needed for operations and customer experience. Manage size master data used while creating variants and size selection options."
"C_Product_Catalog_&_Configuration","/Products-Sizes","tbl_sizes","Manage size master data used while creating variants and size selection options.","PUT","/API/HARRY-CLINTON/Products-Sizes","Update existing record","Useful for correcting details, status changes, and keeping live data accurate. Manage size master data used while creating variants and size selection options."
"C_Product_Catalog_&_Configuration","/Products-Sizes","tbl_sizes","Manage size master data used while creating variants and size selection options.","DELETE","/API/HARRY-CLINTON/Products-Sizes","Delete/disable record","Useful for removing inactive data from active flows while maintaining data hygiene. Manage size master data used while creating variants and size selection options."
"C_Product_Catalog_&_Configuration","/Products-Variants","tbl_product_variants","Manage purchasable product variants such as color, fit, or style options.","GET","/API/HARRY-CLINTON/Products-Variants","View records list","Useful for listing and browsing records in admin/customer interfaces. Manage purchasable product variants such as color, fit, or style options."
"C_Product_Catalog_&_Configuration","/Products-Variants","tbl_product_variants","Manage purchasable product variants such as color, fit, or style options.","GET","/API/HARRY-CLINTON/Products-Variants/:id","View one record","Useful for opening one specific record in detail view screens. Manage purchasable product variants such as color, fit, or style options."
"C_Product_Catalog_&_Configuration","/Products-Variants","tbl_product_variants","Manage purchasable product variants such as color, fit, or style options.","POST","/API/HARRY-CLINTON/Products-Variants","Create new record","Useful when business users add new data needed for operations and customer experience. Manage purchasable product variants such as color, fit, or style options."
"C_Product_Catalog_&_Configuration","/Products-Variants","tbl_product_variants","Manage purchasable product variants such as color, fit, or style options.","PUT","/API/HARRY-CLINTON/Products-Variants","Update existing record","Useful for correcting details, status changes, and keeping live data accurate. Manage purchasable product variants such as color, fit, or style options."
"C_Product_Catalog_&_Configuration","/Products-Variants","tbl_product_variants","Manage purchasable product variants such as color, fit, or style options.","DELETE","/API/HARRY-CLINTON/Products-Variants","Delete/disable record","Useful for removing inactive data from active flows while maintaining data hygiene. Manage purchasable product variants such as color, fit, or style options."
"D_Wishlist_Management","/Wishlist-Items","tbl_wishlist_items","Add or remove products in customer wishlists.","GET","/API/HARRY-CLINTON/Wishlist-Items","View records list","Useful for listing and browsing records in admin/customer interfaces. Add or remove products in customer wishlists."
"D_Wishlist_Management","/Wishlist-Items","tbl_wishlist_items","Add or remove products in customer wishlists.","GET","/API/HARRY-CLINTON/Wishlist-Items/:id","View one record","Useful for opening one specific record in detail view screens. Add or remove products in customer wishlists."
"D_Wishlist_Management","/Wishlist-Items","tbl_wishlist_items","Add or remove products in customer wishlists.","POST","/API/HARRY-CLINTON/Wishlist-Items","Create new record","Useful when business users add new data needed for operations and customer experience. Add or remove products in customer wishlists."
"D_Wishlist_Management","/Wishlist-Items","tbl_wishlist_items","Add or remove products in customer wishlists.","PUT","/API/HARRY-CLINTON/Wishlist-Items","Update existing record","Useful for correcting details, status changes, and keeping live data accurate. Add or remove products in customer wishlists."
"D_Wishlist_Management","/Wishlist-Items","tbl_wishlist_items","Add or remove products in customer wishlists.","DELETE","/API/HARRY-CLINTON/Wishlist-Items","Delete/disable record","Useful for removing inactive data from active flows while maintaining data hygiene. Add or remove products in customer wishlists."
"D_Wishlist_Management","/Wishlists","tbl_wishlists","Manage customer wishlist containers for save-for-later behavior.","GET","/API/HARRY-CLINTON/Wishlists","View records list","Useful for listing and browsing records in admin/customer interfaces. Manage customer wishlist containers for save-for-later behavior."
"D_Wishlist_Management","/Wishlists","tbl_wishlists","Manage customer wishlist containers for save-for-later behavior.","GET","/API/HARRY-CLINTON/Wishlists/:id","View one record","Useful for opening one specific record in detail view screens. Manage customer wishlist containers for save-for-later behavior."
"D_Wishlist_Management","/Wishlists","tbl_wishlists","Manage customer wishlist containers for save-for-later behavior.","POST","/API/HARRY-CLINTON/Wishlists","Create new record","Useful when business users add new data needed for operations and customer experience. Manage customer wishlist containers for save-for-later behavior."
"D_Wishlist_Management","/Wishlists","tbl_wishlists","Manage customer wishlist containers for save-for-later behavior.","PUT","/API/HARRY-CLINTON/Wishlists","Update existing record","Useful for correcting details, status changes, and keeping live data accurate. Manage customer wishlist containers for save-for-later behavior."
"D_Wishlist_Management","/Wishlists","tbl_wishlists","Manage customer wishlist containers for save-for-later behavior.","DELETE","/API/HARRY-CLINTON/Wishlists","Delete/disable record","Useful for removing inactive data from active flows while maintaining data hygiene. Manage customer wishlist containers for save-for-later behavior."
"E_Cart_Management","/Cart-Items","tbl_cart_items","Manage products, quantities, and prices inside carts.","GET","/API/HARRY-CLINTON/Cart-Items","View records list","Useful for listing and browsing records in admin/customer interfaces. Manage products, quantities, and prices inside carts."
"E_Cart_Management","/Cart-Items","tbl_cart_items","Manage products, quantities, and prices inside carts.","GET","/API/HARRY-CLINTON/Cart-Items/:id","View one record","Useful for opening one specific record in detail view screens. Manage products, quantities, and prices inside carts."
"E_Cart_Management","/Cart-Items","tbl_cart_items","Manage products, quantities, and prices inside carts.","POST","/API/HARRY-CLINTON/Cart-Items","Create new record","Useful when business users add new data needed for operations and customer experience. Manage products, quantities, and prices inside carts."
"E_Cart_Management","/Cart-Items","tbl_cart_items","Manage products, quantities, and prices inside carts.","PUT","/API/HARRY-CLINTON/Cart-Items","Update existing record","Useful for correcting details, status changes, and keeping live data accurate. Manage products, quantities, and prices inside carts."
"E_Cart_Management","/Cart-Items","tbl_cart_items","Manage products, quantities, and prices inside carts.","DELETE","/API/HARRY-CLINTON/Cart-Items","Delete/disable record","Useful for removing inactive data from active flows while maintaining data hygiene. Manage products, quantities, and prices inside carts."
"E_Cart_Management","/Carts","tbl_carts","Manage active shopping carts before order placement.","GET","/API/HARRY-CLINTON/Carts","View records list","Useful for listing and browsing records in admin/customer interfaces. Manage active shopping carts before order placement."
"E_Cart_Management","/Carts","tbl_carts","Manage active shopping carts before order placement.","GET","/API/HARRY-CLINTON/Carts/:id","View one record","Useful for opening one specific record in detail view screens. Manage active shopping carts before order placement."
"E_Cart_Management","/Carts","tbl_carts","Manage active shopping carts before order placement.","POST","/API/HARRY-CLINTON/Carts","Create new record","Useful when business users add new data needed for operations and customer experience. Manage active shopping carts before order placement."
"E_Cart_Management","/Carts","tbl_carts","Manage active shopping carts before order placement.","PUT","/API/HARRY-CLINTON/Carts","Update existing record","Useful for correcting details, status changes, and keeping live data accurate. Manage active shopping carts before order placement."
"E_Cart_Management","/Carts","tbl_carts","Manage active shopping carts before order placement.","DELETE","/API/HARRY-CLINTON/Carts","Delete/disable record","Useful for removing inactive data from active flows while maintaining data hygiene. Manage active shopping carts before order placement."
"F_Order_Management","/Invoices","tbl_invoices","Manage invoice records generated for completed or billable orders.","GET","/API/HARRY-CLINTON/Invoices","View records list","Useful for listing and browsing records in admin/customer interfaces. Manage invoice records generated for completed or billable orders."
"F_Order_Management","/Invoices","tbl_invoices","Manage invoice records generated for completed or billable orders.","GET","/API/HARRY-CLINTON/Invoices/:id","View one record","Useful for opening one specific record in detail view screens. Manage invoice records generated for completed or billable orders."
"F_Order_Management","/Invoices","tbl_invoices","Manage invoice records generated for completed or billable orders.","POST","/API/HARRY-CLINTON/Invoices","Create new record","Useful when business users add new data needed for operations and customer experience. Manage invoice records generated for completed or billable orders."
"F_Order_Management","/Invoices","tbl_invoices","Manage invoice records generated for completed or billable orders.","PUT","/API/HARRY-CLINTON/Invoices","Update existing record","Useful for correcting details, status changes, and keeping live data accurate. Manage invoice records generated for completed or billable orders."
